It took 4.01598596572876 seconds to calculate the Mandelbrot graph.
It took 0.10479903221130371 seconds to dump the image.
         1272295 function calls (1250243 primitive calls) in 4.610 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      120    0.000    0.000    0.001    0.000 lines.py:662(set_data)
       12    0.000    0.000    0.001    0.000 __init__.py:224(define_aliases)
      235    0.000    0.000    0.001    0.000 {method 'min' of 'numpy.ndarray' objects}
       63    0.000    0.000    0.001    0.000 inspect.py:3262(__str__)
     2370    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
       48    0.000    0.000    0.001    0.000 copy.py:225(_deepcopy_method)
        1    0.000    0.000    0.001    0.001 image.py:919(set_extent)
        2    0.000    0.000    0.000    0.000 backend_agg.py:268(clear)
        1    0.000    0.000    0.000    0.000 {method 'readlines' of '_io._IOBase' objects}
        4    0.000    0.000    0.000    0.000 _base.py:1936(apply_aspect)
        1    0.000    0.000    0.000    0.000 string.py:69(__init_subclass__)
     4973    0.000    0.000    0.000    0.000 artist.py:1557(<genexpr>)
        1    0.000    0.000    0.000    0.000 figure.py:2464(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1171(exec_module)
      935    0.000    0.000    0.000    0.000 copyreg.py:98(__newobj__)
        1    0.000    0.000    0.000    0.000 backend_agg.py:1(<module>)
       19    0.000    0.000    0.000    0.000 arrayprint.py:1678(_guarded_repr_or_str)
     2249    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 decimal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:1(<module>)
      312    0.000    0.000    0.000    0.000 lines.py:1309(set_ydata)
      100    0.000    0.000    0.000    0.000 markers.py:250(_recache)
      119    0.000    0.000    0.000    0.000 transforms.py:2498(composite_transform_factory)
     1257    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
       31    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       31    0.000    0.000    0.000    0.000 pathlib.py:1083(glob)
     1580    0.000    0.000    0.000    0.000 _parser.py:293(tell)
     5638    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      123    0.000    0.000    0.000    0.000 transforms.py:1972(rotate)
      483    0.000    0.000    0.000    0.000 contextlib.py:104(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:549(_AxesBase)
       10    0.000    0.000    0.000    0.000 extras.py:250(__init__)
        4    0.000    0.000    0.000    0.000 axis.py:234(set_clip_path)
      295    0.000    0.000    0.000    0.000 {method 'max' of 'numpy.ndarray' objects}
       10    0.000    0.000    0.000    0.000 extras.py:255(getdoc)
     8986    0.000    0.000    0.000    0.000 inspect.py:2765(name)
       32    0.000    0.000    0.000    0.000 text.py:342(update_from)
        1    0.000    0.000    0.000    0.000 scanner.py:1(<module>)
       14    0.000    0.000    0.000    0.000 typing.py:1822(__new__)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1(<module>)
     2663    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      344    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        2    0.000    0.000    0.000    0.000 axis.py:612(__init__)
        1    0.000    0.000    0.000    0.000 bz2.py:1(<module>)
       62    0.000    0.000    0.000    0.000 __init__.py:866(_open_file_or_url)
     2906    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      235    0.000    0.000    0.000    0.000 _methods.py:46(_amin)
      663    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        1    0.000    0.000    0.000    0.000 pathlib.py:291(PurePath)
       12    0.000    0.000    0.000    0.000 ticker.py:819(_set_format)
        3    0.000    0.000    0.000    0.000 warnings.py:131(filterwarnings)
        8    0.000    0.000    0.000    0.000 colors.py:2563(make_norm_from_scale)
        1    0.000    0.000    0.000    0.000 path.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:1(<module>)
     1694    0.000    0.000    0.000    0.000 unicode.py:63(<genexpr>)
      311    0.000    0.000    0.000    0.000 function_base.py:473(_add_docstring)
      370    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.affine_transform}
        1    0.000    0.000    0.000    0.000 _polynomial_impl.py:1(<module>)
        4    0.000    0.000    0.000    0.000 axis.py:1195(_set_lim)
       10    0.000    0.000    0.000    0.000 _docstring.py:66(__call__)
      513    0.000    0.000    0.000    0.000 <string>:2(__init__)
      143    0.000    0.000    0.000    0.000 ast.py:419(visit_Constant)
       23    0.000    0.000    0.000    0.000 ast.py:34(parse)
     1813    0.000    0.000    0.000    0.000 inspect.py:371(isfunction)
        1    0.000    0.000    0.000    0.000 ImageFile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _nanfunctions_impl.py:1(<module>)
      215    0.000    0.000    0.000    0.000 cbook.py:871(get_siblings)
      117    0.000    0.000    0.000    0.000 colors.py:243(_check_color_like)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
        2    0.000    0.000    0.000    0.000 backend_agg.py:387(get_renderer)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:1(<module>)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
     2780    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
      818    0.000    0.000    0.000    0.000 {built-in method numpy.asarray}
       13    0.000    0.000    0.000    0.000 typing.py:1519(__getitem__)
     1164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
        8    0.000    0.000    0.000    0.000 axis.py:302(_apply_params)
     5123    0.000    0.000    0.000    0.000 {built-in method builtins.id}
       39    0.000    0.000    0.000    0.000 function_base.py:25(linspace)
        1    0.000    0.000    0.000    0.000 _type_check_impl.py:1(<module>)
     2990    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      663    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.000    0.000    0.000    0.000 _base.py:1257(_gen_axes_spines)
      637    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
        1    0.000    0.000    0.000    0.000 _triinterpolate.py:1(<module>)
       20    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 figure.py:118(FigureBase)
      324    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      590    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
        4    0.000    0.000    0.000    0.000 spines.py:433(linear_spine)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
      195    0.000    0.000    0.000    0.000 inspect.py:2001(_signature_get_user_defined_method)
        1    0.000    0.000    0.000    0.000 tz.py:386(tzfile)
        1    0.000    0.000    0.000    0.000 axis.py:2374(__init__)
      521    0.000    0.000    0.000    0.000 <frozen posixpath>:60(isabs)
      161    0.000    0.000    0.000    0.000 figure.py:65(_stale_figure_callback)
        6    0.000    0.000    0.000    0.000 _common.py:13(tzname_in_python2)
       70    0.000    0.000    0.000    0.000 inspect.py:2095(_signature_bound_method)
      232    0.000    0.000    0.000    0.000 transforms.py:179(set_children)
        1    0.000    0.000    0.000    0.000 rrule.py:1(<module>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:568(_init_fn)
      344    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      107    0.000    0.000    0.000    0.000 __init__.py:336(wrapper)
       24    0.000    0.000    0.000    0.000 fromnumeric.py:2241(clip)
      736    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      144    0.000    0.000    0.000    0.000 text.py:1292(_preprocess_math)
        1    0.000    0.000    0.000    0.000 six.py:1(<module>)
        2    0.000    0.000    0.000    0.000 figure.py:156(_get_draw_artists)
     10/4    0.000    0.000    0.000    0.000 core.py:4409(streamline)
   193/93    0.000    0.000    0.000    0.000 core.py:1956(__str__)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
       70    0.000    0.000    0.000    0.000 transforms.py:299(xmin)
      160    0.000    0.000    0.000    0.000 fromnumeric.py:3190(min)
       46    0.000    0.000    0.000    0.000 font_manager.py:1586(get_font)
        1    0.000    0.000    0.000    0.000 __init__.py:436(PercentStyle)
      295    0.000    0.000    0.000    0.000 _methods.py:42(_amax)
        1    0.000    0.000    0.000    0.000 backend_agg.py:63(__init__)
      260    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
       13    0.000    0.000    0.000    0.000 typing.py:1533(__getitem_inner__)
      663    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       86    0.000    0.000    0.000    0.000 __init__.py:245(make_alias)
      344    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       86    0.000    0.000    0.000    0.000 artist.py:935(_set_gc_clip)
       27    0.000    0.000    0.000    0.000 core.py:5818(__init__)
      107    0.000    0.000    0.000    0.000 transforms.py:2341(__init__)
    154/1    0.000    0.000    0.000    0.000 _mathtext_data.py:1722(_normalize_stix_fontcodes)
       88    0.000    0.000    0.000    0.000 __init__.py:133(check_shape)
       92    0.000    0.000    0.000    0.000 core.py:2408(__init__)
        1    0.000    0.000    0.000    0.000 markers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 printoptions.py:1(<module>)
       43    0.000    0.000    0.000    0.000 numeric.py:137(ones)
      137    0.000    0.000    0.000    0.000 artist.py:738(set_figure)
      294    0.000    0.000    0.000    0.000 transforms.py:155(invalidate)
        1    0.000    0.000    0.000    0.000 TiffTags.py:439(_populate)
        6    0.000    0.000    0.000    0.000 patches.py:48(__init__)
       50    0.000    0.000    0.000    0.000 typing.py:361(_flatten_literal_params)
  573/467    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
        4    0.000    0.000    0.000    0.000 spines.py:35(__init__)
     7482    0.000    0.000    0.000    0.000 inspect.py:2777(kind)
      519    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 _cm_bivar.py:1(<module>)
       28    0.000    0.000    0.000    0.000 transforms.py:2837(nonsingular)
        1    0.000    0.000    0.000    0.000 unicode.py:1(<module>)
      993    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      410    0.000    0.000    0.000    0.000 font_manager.py:1167(_expand_aliases)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
       34    0.000    0.000    0.000    0.000 {built-in method _io.open}
      162    0.000    0.000    0.000    0.000 fromnumeric.py:3052(max)
      798    0.000    0.000    0.000    0.000 enum.py:202(__get__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2314(_IPv6Constants)
       36    0.000    0.000    0.000    0.000 transforms.py:2779(get_transformed_points_and_affine)
      108    0.000    0.000    0.000    0.000 ticker.py:610(__call__)
       10    0.000    0.000    0.000    0.000 axis.py:395(_apply_tickdir)
        1    0.000    0.000    0.000    0.000 widgets.py:1(<module>)
      993    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      339    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
       86    0.000    0.000    0.000    0.000 backend_bases.py:848(set_clip_path)
       50    0.000    0.000    0.000    0.000 transforms.py:1777(__eq__)
       12    0.000    0.000    0.000    0.000 util.py:421(_inner)
      115    0.000    0.000    0.000    0.000 transforms.py:2040(scale)
       72    0.000    0.000    0.000    0.000 transforms.py:616(translated)
      122    0.000    0.000    0.000    0.000 artist.py:435(set_transform)
        2    0.000    0.000    0.000    0.000 __init__.py:519(_get_config_or_cache_dir)
      677    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
        1    0.000    0.000    0.000    0.000 _shape_base_impl.py:1(<module>)
       29    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
       57    0.000    0.000    0.000    0.000 text.py:995(set_color)
       12    0.000    0.000    0.000    0.000 numeric.py:2337(isclose)
       10    0.000    0.000    0.000    0.000 axis.py:456(_apply_tickdir)
        1    0.000    0.000    0.000    0.000 platform.py:1(<module>)
       75    0.000    0.000    0.000    0.000 enum.py:967(_get_mixins_)
     2000    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        1    0.000    0.000    0.000    0.000 random.py:1(<module>)
     1322    0.000    0.000    0.000    0.000 transforms.py:110(__init__)
      123    0.000    0.000    0.000    0.000 font_manager.py:876(set_size)
       56    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:481(broadcast_arrays)
        1    0.000    0.000    0.000    0.000 markers.py:150(MarkerStyle)
        2    0.000    0.000    0.000    0.000 dataclasses.py:638(_frozen_get_del_attr)
       60    0.000    0.000    0.000    0.000 lines.py:1158(set_linestyle)
      455    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      114    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
     1372    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 scale.py:748(_get_scale_docs)
        1    0.000    0.000    0.000    0.000 _enums.py:1(<module>)
       38    0.000    0.000    0.000    0.000 transforms.py:1324(__init_subclass__)
       40    0.000    0.000    0.000    0.000 core.py:2462(__init__)
     1023    0.000    0.000    0.000    0.000 {built-in method numpy.asanyarray}
        1    0.000    0.000    0.000    0.000 ipaddress.py:1569(_IPv4Constants)
      180    0.000    0.000    0.000    0.000 lines.py:1217(_set_markercolor)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
       12    0.000    0.000    0.000    0.000 ticker.py:746(_compute_offset)
      100    0.000    0.000    0.000    0.000 axis.py:293(_set_artist_props)
     1526    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 axis.py:2598(__init__)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
       36    0.000    0.000    0.000    0.000 transforms.py:2766(_revalidate)
        1    0.000    0.000    0.000    0.000 __init__.py:842(copy)
        2    0.000    0.000    0.000    0.000 _base.py:3470(tick_params)
       30    0.000    0.000    0.000    0.000 pathlib.py:199(_select_from)
      291    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:643(_check_name_wrapper)
       35    0.000    0.000    0.000    0.000 core.py:3064(__init__)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1502(__init__)
        1    0.000    0.000    0.000    0.000 _twodim_base_impl.py:1(<module>)
     2831    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
    84/80    0.000    0.000    0.000    0.000 spines.py:340(get_spine_transform)
      273    0.000    0.000    0.000    0.000 cbook.py:1347(_to_unmasked_float_array)
      695    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:1(<module>)
        1    0.000    0.000    0.000    0.000 artist.py:1407(ArtistInspector)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:1(<module>)
        1    0.000    0.000    0.000    0.000 encoder.py:1(<module>)
      306    0.000    0.000    0.000    0.000 results.py:153(__new__)
       49    0.000    0.000    0.000    0.000 core.py:129(get_object_signature)
      146    0.000    0.000    0.000    0.000 <frozen posixpath>:71(join)
     1303    0.000    0.000    0.000    0.000 __init__.py:678(_set)
       60    0.000    0.000    0.000    0.000 lines.py:1073(set_color)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
        1    0.000    0.000    0.000    0.000 helpers.py:153(one_of)
       29    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
       53    0.000    0.000    0.000    0.000 _compiler.py:386(_mk_bitmap)
      584    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
        1    0.000    0.000    0.000    0.000 gzip.py:1(<module>)
     1366    0.000    0.000    0.000    0.000 {built-in method builtins.iter}
      512    0.000    0.000    0.000    0.000 copy.py:231(_keep_alive)
        2    0.000    0.000    0.000    0.000 axis.py:2464(_update_offset_text_position)
       90    0.000    0.000    0.000    0.000 pathlib.py:437(__str__)
      149    0.000    0.000    0.000    0.000 _parser.py:893(_parse_flags)
        1    0.000    0.000    0.000    0.000 abc.py:1(<module>)
      418    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      649    0.000    0.000    0.000    0.000 functools.py:65(wraps)
      243    0.000    0.000    0.000    0.000 inspect.py:2799(__str__)
       36    0.000    0.000    0.000    0.000 lines.py:746(_get_transformed_path)
      346    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      201    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
        1    0.000    0.000    0.000    0.000 _mathtext.py:1814(Parser)
       58    0.000    0.000    0.000    0.000 core.py:3161(parseImpl)
       72    0.000    0.000    0.000    0.000 transforms.py:1832(frozen)
       26    0.000    0.000    0.000    0.000 core.py:7101(__init__)
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
1708/1701    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
     2000    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       22    0.000    0.000    0.000    0.000 core.py:4215(_generateDefaultName)
      204    0.000    0.000    0.000    0.000 cbook.py:1334(is_math_text)
       14    0.000    0.000    0.000    0.000 core.py:6035(__init__)
      702    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
        1    0.000    0.000    0.000    0.000 _base.py:2589(update_datalim)
      288    0.000    0.000    0.000    0.000 font_manager.py:1349(<genexpr>)
      544    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
       26    0.000    0.000    0.000    0.000 core.py:7107(getdoc)
      148    0.000    0.000    0.000    0.000 markers.py:275(_set_fillstyle)
      184    0.000    0.000    0.000    0.000 cm.py:94(__getitem__)
       85    0.000    0.000    0.000    0.000 path.py:202(_update_values)
      162    0.000    0.000    0.000    0.000 pyplot.py:1074(_auto_draw_if_interactive)
       36    0.000    0.000    0.000    0.000 lines.py:731(_transform_path)
        1    0.000    0.000    0.000    0.000 _constrained_layout.py:1(<module>)
      311    0.000    0.000    0.000    0.000 function_base.py:455(_needs_add_docstring)
        4    0.000    0.000    0.000    0.000 core.py:1518(__mul__)
      895    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       37    0.000    0.000    0.000    0.000 getlimits.py:493(__new__)
        1    0.000    0.000    0.000    0.000 unicode.py:123(pyparsing_unicode)
        1    0.000    0.000    0.000    0.000 lzma.py:1(<module>)
     2204    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        4    0.000    0.000    0.000    0.000 <frozen posixpath>:431(realpath)
        3    0.000    0.000    0.000    0.000 pathlib.py:1230(resolve)
      540    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       24    0.000    0.000    0.000    0.000 {method 'clip' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 transforms.py:652(intersection)
       41    0.000    0.000    0.000    0.000 transforms.py:785(unit)
        1    0.000    0.000    0.000    0.000 transforms.py:921(update_from_data_xy)
      813    0.000    0.000    0.000    0.000 __init__.py:1000(<lambda>)
     2087    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       12    0.000    0.000    0.000    0.000 ticker.py:785(_set_order_of_magnitude)
       78    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.000    0.000 selectors.py:1(<module>)
  319/294    0.000    0.000    0.000    0.000 transforms.py:164(_invalidate_internal)
        1    0.000    0.000    0.000    0.000 uuid.py:1(<module>)
       54    0.000    0.000    0.000    0.000 pathlib.py:551(drive)
       13    0.000    0.000    0.000    0.000 typing.py:1515(copy_with)
       25    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
      690    0.000    0.000    0.000    0.000 _mathtext_data.py:1724(<genexpr>)
        2    0.000    0.000    0.000    0.000 axis.py:2602(_init)
       75    0.000    0.000    0.000    0.000 enum.py:1008(_find_data_type_)
       15    0.000    0.000    0.000    0.000 patches.py:934(get_bbox)
       19    0.000    0.000    0.000    0.000 {built-in method _functools.reduce}
        4    0.000    0.000    0.000    0.000 _version.py:55(__init__)
      108    0.000    0.000    0.000    0.000 ticker.py:552(_format_maybe_minus_and_locale)
        1    0.000    0.000    0.000    0.000 util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _typing.py:1(<module>)
      188    0.000    0.000    0.000    0.000 colors.py:998(copy)
      339    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        1    0.000    0.000    0.000    0.000 transforms.py:849(update_from_path)
      173    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.000    0.000 _cm_listed.py:1(<module>)
       25    0.000    0.000    0.000    0.000 __init__.py:214(__getattr__)
  224/212    0.000    0.000    0.000    0.000 _compiler.py:436(_get_literal_prefix)
      147    0.000    0.000    0.000    0.000 TiffTags.py:35(__new__)
      135    0.000    0.000    0.000    0.000 core.py:2016(__eq__)
      430    0.000    0.000    0.000    0.000 weakref.py:451(get)
        8    0.000    0.000    0.000    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.000    0.000 backend_bases.py:2767(NavigationToolbar2)
       24    0.000    0.000    0.000    0.000 _methods.py:99(_clip)
      590    0.000    0.000    0.000    0.000 enum.py:70(_is_internal_class)
      840    0.000    0.000    0.000    0.000 _parser.py:83(groups)
       24    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
     1391    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.update_path_extents}
      288    0.000    0.000    0.000    0.000 copy.py:252(<genexpr>)
      150    0.000    0.000    0.000    0.000 cbook.py:259(__init__)
      293    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        3    0.000    0.000    0.000    0.000 deprecation.py:255(rename_parameter)
        1    0.000    0.000    0.000    0.000 __init__.py:596(matplotlib_fname)
       48    0.000    0.000    0.000    0.000 transforms.py:1612(transform_path_non_affine)
       38    0.000    0.000    0.000    0.000 rcsetup.py:759(<genexpr>)
      219    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      509    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      132    0.000    0.000    0.000    0.000 inspect.py:1816(getattr_static)
       31    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
       70    0.000    0.000    0.000    0.000 transforms.py:309(xmax)
       72    0.000    0.000    0.000    0.000 transforms.py:314(ymax)
        1    0.000    0.000    0.000    0.000 datetime.py:1(<module>)
      101    0.000    0.000    0.000    0.000 typing.py:961(_is_unpacked_typevartuple)
        2    0.000    0.000    0.000    0.000 axis.py:2378(_init)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       20    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       78    0.000    0.000    0.000    0.000 core.py:4216(<genexpr>)
        1    0.000    0.000    0.000    0.000 relativedelta.py:1(<module>)
       51    0.000    0.000    0.000    0.000 text.py:1040(set_linespacing)
       10    0.000    0.000    0.000    0.000 axis.py:392(_get_text2_transform)
       70    0.000    0.000    0.000    0.000 transforms.py:304(ymin)
       10    0.000    0.000    0.000    0.000 axis.py:389(_get_text1_transform)
      678    0.000    0.000    0.000    0.000 artist.py:723(get_figure)
      615    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
        1    0.000    0.000    0.000    0.000 _base.py:839(set_subplotspec)
       48    0.000    0.000    0.000    0.000 text.py:1108(set_fontsize)
       19    0.000    0.000    0.000    0.000 __init__.py:482(cycler)
    92/50    0.000    0.000    0.000    0.000 _base.py:964(get_xaxis_transform)
        1    0.000    0.000    0.000    0.000 axis3d.py:38(Axis)
       46    0.000    0.000    0.000    0.000 pathlib.py:380(with_segments)
      108    0.000    0.000    0.000    0.000 transforms.py:2917(_interval_contains_close)
        1    0.000    0.000    0.000    0.000 figure.py:2424(Figure)
     12/2    0.000    0.000    0.000    0.000 core.py:1578(makeOptionalList)
       29    0.000    0.000    0.000    0.000 pathlib.py:1067(_make_child_relpath)
       52    0.000    0.000    0.000    0.000 core.py:938(__init__)
      638    0.000    0.000    0.000    0.000 cbook.py:1860(_str_equal)
       31    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       27    0.000    0.000    0.000    0.000 artist.py:44(allow_rasterization)
       51    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 registry.py:1(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:617(gen_candidates)
      647    0.000    0.000    0.000    0.000 typing.py:1598(_value_and_type_iter)
      673    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       41    0.000    0.000    0.000    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
        1    0.000    0.000    0.000    0.000 ImageMath.py:1(<module>)
        7    0.000    0.000    0.000    0.000 core.py:1485(__radd__)
      141    0.000    0.000    0.000    0.000 transforms.py:2412(transform_non_affine)
      548    0.000    0.000    0.000    0.000 rcsetup.py:191(validator)
      188    0.000    0.000    0.000    0.000 colors.py:815(__copy__)
       13    0.000    0.000    0.000    0.000 textwrap.py:470(indent)
       13    0.000    0.000    0.000    0.000 typing.py:1458(copy_with)
        4    0.000    0.000    0.000    0.000 patches.py:654(get_window_extent)
      649    0.000    0.000    0.000    0.000 inspect.py:295(isclass)
        1    0.000    0.000    0.000    0.000 mlab.py:1(<module>)
        5    0.000    0.000    0.000    0.000 typing.py:740(Optional)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _base.py:1019(get_xaxis_text2_transform)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
     1736    0.000    0.000    0.000    0.000 typing.py:774(<genexpr>)
    25/24    0.000    0.000    0.000    0.000 transforms.py:1108(get_points)
      192    0.000    0.000    0.000    0.000 _compiler.py:467(_get_charset_prefix)
    92/50    0.000    0.000    0.000    0.000 _base.py:1046(get_yaxis_transform)
       36    0.000    0.000    0.000    0.000 transforms.py:2751(__init__)
       10    0.000    0.000    0.000    0.000 axis.py:450(_get_text1_transform)
        1    0.000    0.000    0.000    0.000 contextvars.py:1(<module>)
      254    0.000    0.000    0.000    0.000 _shape_base_impl.py:617(_column_stack_dispatcher)
      161    0.000    0.000    0.000    0.000 font_manager.py:784(set_family)
       23    0.000    0.000    0.000    0.000 core.py:5355(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:560(get_configdir)
       10    0.000    0.000    0.000    0.000 _base.py:992(get_xaxis_text1_transform)
        2    0.000    0.000    0.000    0.000 patches.py:748(__init__)
       50    0.000    0.000    0.000    0.000 ipaddress.py:1920(__init__)
       60    0.000    0.000    0.000    0.000 lines.py:752(set_transform)
        8    0.000    0.000    0.000    0.000 core.py:589(_setResultsName)
     1831    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
       60    0.000    0.000    0.000    0.000 pathlib.py:1159(__init__)
        5    0.000    0.000    0.000    0.000 _base.py:2614(_process_unit_info)
        1    0.000    0.000    0.000    0.000 __init__.py:240(<lambda>)
       19    0.000    0.000    0.000    0.000 __init__.py:546(_cycler)
        1    0.000    0.000    0.000    0.000 _nbit_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:212(_get_version)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
       52    0.000    0.000    0.000    0.000 typing.py:977(_typevar_subst)
       11    0.000    0.000    0.000    0.000 version.py:47(parse)
