It took 4.01598596572876 seconds to calculate the Mandelbrot graph.
It took 0.10479903221130371 seconds to dump the image.
         1272295 function calls (1250243 primitive calls) in 4.610 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      323    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
      323    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       20    0.000    0.000    0.011    0.001 axis.py:59(__init__)
      456    0.010    0.000    0.010    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.010    0.010 geo.py:1(<module>)
        2    0.000    0.000    0.010    0.005 core.py:198(read_style_directory)
        1    0.000    0.000    0.010    0.010 cm.py:1(<module>)
     6879    0.006    0.000    0.010    0.000 inspect.py:2712(__init__)
    10248    0.010    0.000    0.010    0.000 {method 'search' of 're.Pattern' objects}
    77889    0.009    0.000    0.010    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.009    0.009 _base.py:1445(clear)
        1    0.000    0.000    0.009    0.009 _base.py:1313(__clear)
      506    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.000    0.000    0.009    0.009 offsetbox.py:1(<module>)
        1    0.000    0.000    0.009    0.009 axis.py:1(<module>)
174237/173034    0.009    0.000    0.009    0.000 {built-in method builtins.len}
      219    0.000    0.000    0.009    0.000 _compiler.py:573(_code)
    99211    0.009    0.000    0.009    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.009    0.009 image.py:1526(imsave)
      456    0.000    0.000    0.009    0.000 artist.py:1530(number_of_parameters)
      200    0.000    0.000    0.008    0.000 pyplot.py:176(_copy_docstring_and_deprecators)
        1    0.000    0.000    0.008    0.008 Image.py:2469(save)
3910/3428    0.003    0.000    0.008    0.000 {built-in method __new__ of type object at 0xa43b40}
        1    0.000    0.000    0.008    0.008 lines.py:1(<module>)
        1    0.000    0.000    0.008    0.008 polar.py:1(<module>)
        1    0.000    0.000    0.008    0.008 multiarray.py:1(<module>)
       46    0.002    0.000    0.008    0.000 backend_agg.py:248(_prepare_font)
       94    0.000    0.000    0.008    0.000 __init__.py:1447(_preprocess_data)
        4    0.000    0.000    0.008    0.002 colorizer.py:337(to_rgba)
        5    0.000    0.000    0.008    0.002 colorizer.py:120(to_rgba)
       42    0.001    0.000    0.008    0.000 enum.py:528(__new__)
      261    0.001    0.000    0.008    0.000 typing.py:1242(__init__)
    63519    0.007    0.000    0.007    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.007    0.007 overrides.py:1(<module>)
  120/115    0.000    0.000    0.007    0.000 typing.py:508(__getitem__)
        1    0.000    0.000    0.007    0.007 font_manager.py:1(<module>)
       10    0.000    0.000    0.007    0.001 axis.py:367(__init__)
    89213    0.007    0.000    0.007    0.000 {method 'lstrip' of 'str' objects}
      115    0.000    0.000    0.007    0.000 typing.py:687(Union)
        1    0.000    0.000    0.007    0.007 ExifTags.py:1(<module>)
      984    0.000    0.000    0.007    0.000 artist.py:1536(is_alias)
       10    0.000    0.000    0.007    0.001 axis.py:428(__init__)
        1    0.000    0.000    0.007    0.007 _dtype_like.py:1(<module>)
      291    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
      426    0.000    0.000    0.007    0.000 rcsetup.py:332(validate_color)
 1129/219    0.003    0.000    0.007    0.000 _compiler.py:37(_compile)
      838    0.001    0.000    0.007    0.000 colors.py:278(to_rgba)
        1    0.000    0.000    0.007    0.007 image.py:1(<module>)
        4    0.000    0.000    0.006    0.002 axis.py:2223(_get_tick_boxes_siblings)
      546    0.000    0.000    0.006    0.000 colors.py:224(is_color_like)
